Date,
12-Sep-19,Close
13-Sep-19,53.01
16-Sep-19,52.54
17-Sep-19,52.2
18-Sep-19,51.95
19-Sep-19,51.74
20-Sep-19,51.57
23-Sep-19,50.72
24-Sep-19,50.9
25-Sep-19,49.82
26-Sep-19,51.02
27-Sep-19,50.92
30-Sep-19,50.78
1-Oct-19,51.53
2-Oct-19,50.76
3-Oct-19,49.39
4-Oct-19,50.03
7-Oct-19,50.92
8-Oct-19,50.62
9-Oct-19,49.73
10-Oct-19,50.48
11-Oct-19,51.11
14-Oct-19,52.09
15-Oct-19,51.64
16-Oct-19,52.65
17-Oct-19,52.45
18-Oct-19,51.86
21-Oct-19,51.36
22-Oct-19,52.13
23-Oct-19,52.01
24-Oct-19,51.72
25-Oct-19,52.23
28-Oct-19,56.46
29-Oct-19,56.76
30-Oct-19,56.34
31-Oct-19,56.6
1-Nov-19,56.53
4-Nov-19,56.51
5-Nov-19,57.61
6-Nov-19,57.55
7-Nov-19,57.6
8-Nov-19,58.05
11-Nov-19,58.27
12-Nov-19,58.35
13-Nov-19,58.2
14-Nov-19,57.89
15-Nov-19,57.81
18-Nov-19,57.96
19-Nov-19,58.25
20-Nov-19,58.35
21-Nov-19,57.9
22-Nov-19,58.22
25-Nov-19,57.61
26-Nov-19,58.81
27-Nov-19,58.9
29-Nov-19,58.51
2-Dec-19,58.05
3-Dec-19,57.66
4-Dec-19,56.07
5-Dec-19,56.02
6-Dec-19,56.08
9-Dec-19,56.81
10-Dec-19,56.53
11-Dec-19,56.59
12-Dec-19,57.07
13-Dec-19,57.55
16-Dec-19,57.79
17-Dec-19,57.7
18-Dec-19,57.3
19-Dec-19,57.17
20-Dec-19,57.96
23-Dec-19,58.95
24-Dec-19,59.23
26-Dec-19,59.41
27-Dec-19,59.82
30-Dec-19,60.08
31-Dec-19,59.62
2-Jan-20,59.85
3-Jan-20,60.84
6-Jan-20,60.1
7-Jan-20,59.93
8-Jan-20,58.93
9-Jan-20,58.97
10-Jan-20,59.3
13-Jan-20,58.94
14-Jan-20,59.59
15-Jan-20,59.43
16-Jan-20,58.94
17-Jan-20,59.66
21-Jan-20,59.6
22-Jan-20,60.55
23-Jan-20,62.73
24-Jan-20,63.32
27-Jan-20,68.47
28-Jan-20,65.69
29-Jan-20,67.31
30-Jan-20,66.33
31-Jan-20,66.47
3-Feb-20,63.93
4-Feb-20,64.42
5-Feb-20,65.46
6-Feb-20,67.34
7-Feb-20,67.09
10-Feb-20,66.02
11-Feb-20,66.39
12-Feb-20,67.41
13-Feb-20,67.46
14-Feb-20,67.44
18-Feb-20,67.27
19-Feb-20,66.14
20-Feb-20,67.11
21-Feb-20,65.45
24-Feb-20,64.34
25-Feb-20,61.76
26-Feb-20,59.73
27-Feb-20,59.65
28-Feb-20,55.83
2-Mar-20,55.52
3-Mar-20,58.18
4-Mar-20,55.97
5-Mar-20,58.68
6-Mar-20,56.96
9-Mar-20,55.77
10-Mar-20,50.85
11-Mar-20,53.98
12-Mar-20,51.66
13-Mar-20,45.54
16-Mar-20,54.43
17-Mar-20,44.61
18-Mar-20,50.08
19-Mar-20,47.61
20-Mar-20,45.94
23-Mar-20,45.83
24-Mar-20,49.58
25-Mar-20,52.4
26-Mar-20,51.26
27-Mar-20,55.54
30-Mar-20,52.37
31-Mar-20,55.49
1-Apr-20,54.12
2-Apr-20,51.88
3-Apr-20,54.35
6-Apr-20,54.13
7-Apr-20,58.43
8-Apr-20,58.4
9-Apr-20,58.98
13-Apr-20,57.14
14-Apr-20,58.7
15-Apr-20,60.66
16-Apr-20,58.87
17-Apr-20,60.79
20-Apr-20,60.36
21-Apr-20,59.18
22-Apr-20,56.36
23-Apr-20,60.1
24-Apr-20,59.04
27-Apr-20,59.26
28-Apr-20,59.47
29-Apr-20,58.75
30-Apr-20,61.8
1-May-20,59.98
4-May-20,57.47
5-May-20,57.99
6-May-20,58.75
7-May-20,59.18
8-May-20,59.17
11-May-20,59.67
12-May-20,60.13
13-May-20,58.39
14-May-20,57.74
15-May-20,59.08
18-May-20,58.28
19-May-20,59.92
20-May-20,60.29
21-May-20,63.1
22-May-20,61.98
26-May-20,62.26
27-May-20,62.34
28-May-20,63.56
29-May-20,61.7
1-Jun-20,62.93
2-Jun-20,61.86
3-Jun-20,62.12
4-Jun-20,61.93
5-Jun-20,62.97
8-Jun-20,64.34
9-Jun-20,63.67
10-Jun-20,63.04
11-Jun-20,63.87
12-Jun-20,59.7
15-Jun-20,59.33
16-Jun-20,60.1
17-Jun-20,60.4
18-Jun-20,60.49
19-Jun-20,60.08
22-Jun-20,59.62
23-Jun-20,60.09
24-Jun-20,59.92
25-Jun-20,59.09
26-Jun-20,58.51
29-Jun-20,57.5
30-Jun-20,58.27
1-Jul-20,59.83
2-Jul-20,58.81
6-Jul-20,59.13
7-Jul-20,59.54
8-Jul-20,58.31
9-Jul-20,58.61
10-Jul-20,58.42
13-Jul-20,59.53
14-Jul-20,58.58
15-Jul-20,58.98
16-Jul-20,59.03
17-Jul-20,59.14
20-Jul-20,60
21-Jul-20,61.15
22-Jul-20,60.7
23-Jul-20,61.05
24-Jul-20,60.4
