,"Instructions
Enter stock symbol in cell B4",,,,,POWERED BY
,,,,,,Google Finance
,,,,,,
,sq,<< enter a symbol,,,,
,,"<< optionally, enter an exchange (e.g. NASDAQ, NYSE)",,,,
,,,,,,
,Block Inc,,,,,
,,,,,,
,Current price,,Change,% change,,
,74.29,,+3.67,+5.20%,,
,,,,,,
,,,,,,
,Market cap,P/E ratio,Beta,,,
,"43,845M",-,2.45,,,
,,,,,,12 Months
,,,,,,
,,,,,,
,sq,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Date,Open,High,Low,Close,Volume
,"Sep 13, 2021",248.74,248.84,237.91,246.68,"7,879,068"
,"Sep 14, 2021",249.10,253.42,245.68,247.05,"4,940,366"
,"Sep 15, 2021",247.73,248.90,245.07,248.80,"4,092,159"
,"Sep 16, 2021",248.80,255.49,247.48,255.09,"5,795,078"
,"Sep 17, 2021",256.06,257.27,252.38,255.79,"5,893,621"
,"Sep 20, 2021",245.33,251.72,244.61,250.23,"5,861,465"
,"Sep 21, 2021",252.82,254.10,249.83,251.30,"4,658,653"
,"Sep 22, 2021",253.00,261.79,252.29,261.07,"6,270,964"
,"Sep 23, 2021",263.49,268.17,262.70,266.72,"7,837,891"
,"Sep 24, 2021",263.99,264.97,257.91,262.50,"6,958,900"
,"Sep 27, 2021",258.10,259.86,255.79,258.11,"4,683,153"
,"Sep 28, 2021",252.51,252.85,241.62,242.70,"11,052,230"
,"Sep 29, 2021",245.52,246.24,235.22,236.04,"7,323,712"
,"Sep 30, 2021",236.69,243.27,236.27,239.84,"5,474,019"
,"Oct 1, 2021",239.44,242.05,236.88,239.29,"5,934,560"
,"Oct 4, 2021",235.61,236.29,222.92,226.25,"12,376,667"
,"Oct 5, 2021",226.91,239.14,226.26,235.98,"9,928,190"
,"Oct 6, 2021",231.97,241.00,231.33,239.12,"7,079,553"
,"Oct 7, 2021",246.09,251.65,244.92,249.16,"9,170,897"
,"Oct 8, 2021",249.30,251.44,238.12,238.49,"8,488,297"
,"Oct 11, 2021",238.49,240.72,232.00,232.33,"7,632,272"
,"Oct 12, 2021",237.75,240.32,234.08,237.41,"5,800,287"
,"Oct 13, 2021",239.30,243.53,238.67,242.73,"5,422,801"
,"Oct 14, 2021",248.12,251.34,247.10,247.41,"6,756,603"
,"Oct 15, 2021",250.00,250.46,246.51,249.00,"4,673,527"
,"Oct 18, 2021",247.45,253.60,244.16,252.20,"6,911,138"
,"Oct 19, 2021",253.94,256.97,251.81,254.41,"5,248,578"
,"Oct 20, 2021",257.89,260.38,253.02,255.35,"4,695,141"
,"Oct 21, 2021",255.54,265.65,253.60,265.08,"7,003,131"
,"Oct 22, 2021",259.88,262.00,251.94,253.06,"7,656,210"
,"Oct 25, 2021",252.55,262.41,252.53,262.00,"5,747,711"
,"Oct 26, 2021",263.03,270.16,259.06,263.39,"7,089,469"
,"Oct 27, 2021",261.92,262.31,252.28,253.02,"6,305,703"
,"Oct 28, 2021",257.19,261.61,254.67,261.33,"4,912,935"
,"Oct 29, 2021",258.16,258.75,253.98,254.50,"4,093,759"
,"Nov 1, 2021",255.12,255.54,251.12,255.04,"4,426,630"
,"Nov 2, 2021",253.04,255.22,247.40,249.01,"5,465,929"
,"Nov 3, 2021",249.40,252.82,248.23,252.48,"4,205,636"
,"Nov 4, 2021",252.64,253.32,244.55,247.46,"10,195,338"
,"Nov 5, 2021",247.64,255.95,237.08,237.38,"15,227,987"
,"Nov 8, 2021",237.99,241.42,234.15,236.77,"7,458,695"
,"Nov 9, 2021",238.40,240.90,229.72,230.78,"7,280,613"
,"Nov 10, 2021",230.00,234.69,225.25,227.21,"7,326,827"
,"Nov 11, 2021",231.01,231.22,225.65,226.51,"4,699,475"
,"Nov 12, 2021",228.20,229.76,226.51,227.30,"5,668,986"
,"Nov 15, 2021",229.00,238.60,228.80,233.02,"6,501,806"
,"Nov 16, 2021",231.30,238.90,230.40,238.47,"5,690,782"
,"Nov 17, 2021",238.85,241.50,229.69,231.85,"5,185,119"
,"Nov 18, 2021",234.69,237.82,228.11,230.35,"5,396,129"
,"Nov 19, 2021",228.63,229.99,224.09,225.14,"7,451,097"
,"Nov 22, 2021",222.71,224.57,205.28,211.31,"15,737,621"
,"Nov 23, 2021",209.86,214.70,205.41,210.55,"9,836,508"
,"Nov 24, 2021",207.31,217.09,207.31,215.65,"6,910,333"
,"Nov 26, 2021",211.01,215.65,209.27,212.08,"3,687,232"
,"Nov 29, 2021",220.46,220.60,209.05,212.87,"5,575,358"
,"Nov 30, 2021",214.88,217.75,206.00,208.33,"10,092,548"
,"Dec 1, 2021",210.19,211.61,193.93,194.50,"13,430,430"
,"Dec 2, 2021",191.18,195.52,185.28,192.15,"16,858,564"
,"Dec 3, 2021",192.66,192.89,174.34,181.31,"19,166,046"
,"Dec 6, 2021",176.87,180.17,170.75,179.72,"11,654,102"
,"Dec 7, 2021",187.98,192.89,187.17,189.51,"10,652,871"
,"Dec 8, 2021",190.00,195.28,185.80,194.78,"8,883,664"
,"Dec 9, 2021",191.51,194.53,185.40,186.75,"6,251,253"
,"Dec 10, 2021",187.51,189.87,179.69,181.32,"7,956,449"
,"Dec 13, 2021",179.11,181.10,171.81,175.44,"10,548,028"
,"Dec 14, 2021",170.30,175.90,168.61,170.72,"8,982,805"
,"Dec 15, 2021",169.95,174.96,162.96,173.80,"11,626,537"
,"Dec 16, 2021",175.26,176.91,163.85,165.88,"10,913,698"
,"Dec 17, 2021",161.07,168.87,158.38,167.06,"12,713,744"
